id,app_id,ccu,collected_at
8383,1127400,1096,2026-05-24 17:37:24.278503
8384,1127500,412,2026-05-24 17:37:25.496734
8385,1127700,29,2026-05-24 17:37:26.759027
8386,1128000,16,2026-05-24 17:37:28.080285
8387,1128810,3077,2026-05-24 17:37:29.295937
8388,1128920,450,2026-05-24 17:37:30.553812
8389,1129190,194,2026-05-24 17:37:31.892237
8390,1129310,21,2026-05-24 17:37:33.210715
8391,1129580,3078,2026-05-24 17:37:34.464820
8392,1131620,169,2026-05-24 17:37:35.765259
8393,1131720,0,2026-05-24 17:37:37.061046
8394,1133060,1,2026-05-24 17:37:38.533929
8395,1134100,15,2026-05-24 17:37:39.872355
8396,1134570,58,2026-05-24 17:37:41.212515
8397,1135230,260,2026-05-24 17:37:42.471889
8398,1135300,29,2026-05-24 17:37:43.781304
8399,1135810,18,2026-05-24 17:37:45.085895
8400,1136160,45,2026-05-24 17:37:46.317571
8401,1136370,52,2026-05-24 17:37:47.626324
8402,1137220,0,2026-05-24 17:37:48.846295
8403,1137300,90,2026-05-24 17:37:50.216629
8404,1137460,11,2026-05-24 17:37:51.561204
8405,1138190,210,2026-05-24 17:37:52.805203
8406,1138660,39,2026-05-24 17:37:54.322970
8407,1138850,36,2026-05-24 17:37:55.763153
8408,1139940,24,2026-05-24 17:37:57.179489
8409,1139980,1613,2026-05-24 17:37:58.448611
8410,1140270,24,2026-05-24 17:37:59.755640
8411,1140440,9,2026-05-24 17:38:01.080968
8412,1140620,23,2026-05-24 17:38:02.310463
8413,1141020,196,2026-05-24 17:38:03.550641
8414,1142500,26,2026-05-24 17:38:04.862851
8415,1142710,36691,2026-05-24 17:38:06.106802
8416,1144170,164,2026-05-24 17:38:07.418041
8417,1144200,9071,2026-05-24 17:38:08.657174
8418,1144400,73,2026-05-24 17:38:09.895497
8419,1144770,7,2026-05-24 17:38:11.213871
8420,1145350,6337,2026-05-24 17:38:12.458860
8421,1145360,3998,2026-05-24 17:38:13.702476
8422,1145960,18,2026-05-24 17:38:15.007567
8423,1146310,8,2026-05-24 17:38:16.318215
8424,1146630,0,2026-05-24 17:38:17.631383
8425,1147550,26,2026-05-24 17:38:18.935680
8426,1147560,328,2026-05-24 17:38:20.212255
8427,1147660,0,2026-05-24 17:38:21.520423
8428,1147690,3253,2026-05-24 17:38:22.840674
8429,1148590,34,2026-05-24 17:38:24.169623
8430,1148650,10,2026-05-24 17:38:25.538251
8431,1149460,7557,2026-05-24 17:38:26.804532
8432,1149620,501,2026-05-24 17:38:28.060414
8433,1150080,2,2026-05-24 17:38:29.359632
8434,1150440,234,2026-05-24 17:38:30.610068
8435,1150640,271,2026-05-24 17:38:31.880837
8436,1150690,571,2026-05-24 17:38:33.111911
8437,1150760,74,2026-05-24 17:38:34.474495
8438,1150950,2,2026-05-24 17:38:35.780879
8439,1151340,7696,2026-05-24 17:38:37.034908
8440,1151640,867,2026-05-24 17:38:38.373314
8441,1153640,49,2026-05-24 17:38:39.712336
8442,1154040,2,2026-05-24 17:38:40.950912
8443,1154790,3,2026-05-24 17:38:42.276813
8444,1154810,29,2026-05-24 17:38:43.504857
8445,1157390,131,2026-05-24 17:38:44.749793
8446,1158160,3357,2026-05-24 17:38:45.991164
8447,1158310,22077,2026-05-24 17:38:47.246820
8448,1158850,159,2026-05-24 17:38:48.475104
8449,1158980,0,2026-05-24 17:38:49.959586
8450,1159660,1,2026-05-24 17:38:51.249002
8451,1159690,292,2026-05-24 17:38:52.557317
8452,1160220,13,2026-05-24 17:38:53.859084
8453,1160750,184,2026-05-24 17:38:55.195575
8454,1161170,2,2026-05-24 17:38:56.783921
8455,1161580,341,2026-05-24 17:38:58.056826
8456,1162520,76,2026-05-24 17:38:59.393612
8457,1162750,1016,2026-05-24 17:39:00.619934
8458,1162930,0,2026-05-24 17:39:01.924815
8459,1163550,117,2026-05-24 17:39:03.247616
8460,1163870,3,2026-05-24 17:39:04.476331
8461,1164850,12,2026-05-24 17:39:05.782250
8462,1164940,160,2026-05-24 17:39:07.084558
8463,1166290,36,2026-05-24 17:39:08.419844
8464,1167450,42,2026-05-24 17:39:10.469868
8465,1167630,3349,2026-05-24 17:39:11.713534
8466,1168660,7,2026-05-24 17:39:13.037214
8467,1169040,1207,2026-05-24 17:39:14.268049
8468,1170760,8,2026-05-24 17:39:15.526251
8469,1170880,6,2026-05-24 17:39:16.904358
8470,1170950,607,2026-05-24 17:39:18.187333
8471,1170970,210,2026-05-24 17:39:19.704853
8472,1171690,1315,2026-05-24 17:39:21.010545
8473,1172380,1984,2026-05-24 17:39:22.268680
8474,1172470,86255,2026-05-24 17:39:23.521230
8475,1172620,7092,2026-05-24 17:39:24.894628
8476,1172650,21,2026-05-24 17:39:26.187625
8477,1173510,2207,2026-05-24 17:39:27.434079
8478,1173770,123,2026-05-24 17:39:28.754304
8479,1173780,105,2026-05-24 17:39:30.066130
8480,1173790,70,2026-05-24 17:39:31.336318
8481,1173810,164,2026-05-24 17:39:32.648970
8482,1173820,241,2026-05-24 17:39:33.974298
8483,1174180,34191,2026-05-24 17:39:35.192859
8484,1175460,6,2026-05-24 17:39:36.752726
8485,1176470,872,2026-05-24 17:39:37.989787
8486,1177980,139,2026-05-24 17:39:39.292459
8487,1178030,1,2026-05-24 17:39:40.605923
8488,1178160,35,2026-05-24 17:39:41.931418
8489,1178490,24,2026-05-24 17:39:43.222229
8490,1178830,20,2026-05-24 17:39:44.506136
8491,1179080,44,2026-05-24 17:39:45.837514
8492,1179580,4,2026-05-24 17:39:47.062612
8493,1179680,230,2026-05-24 17:39:48.298251
8494,1180380,986,2026-05-24 17:39:49.587477
8495,1180660,72,2026-05-24 17:39:50.934083
8496,1182020,225,2026-05-24 17:39:52.385875
8497,1182110,64,2026-05-24 17:39:53.718458
8498,1182310,12,2026-05-24 17:39:55.052179
8499,1182900,175,2026-05-24 17:39:56.368856
8500,1183800,2,2026-05-24 17:39:57.720979
8501,1183840,0,2026-05-24 17:39:59.084202
8502,1184050,50,2026-05-24 17:40:00.418032
8503,1184140,0,2026-05-24 17:40:01.737941
8504,1184370,3207,2026-05-24 17:40:03.059285
8505,1184810,2,2026-05-24 17:40:04.421778
8506,1186640,15,2026-05-24 17:40:05.716515
8507,1189490,363,2026-05-24 17:40:07.030887
8508,1189630,21,2026-05-24 17:40:08.333811
8509,1190000,1882,2026-05-24 17:40:09.602117
8510,1190150,7,2026-05-24 17:40:10.889432
8511,1190970,7837,2026-05-24 17:40:12.700509
8512,1191330,132,2026-05-24 17:40:14.014426
8513,1191840,2,2026-05-24 17:40:15.369975
8514,1193340,1,2026-05-24 17:40:16.720095
8515,1194630,120,2026-05-24 17:40:18.035310
8516,1194810,7,2026-05-24 17:40:19.273445
8517,1194930,1,2026-05-24 17:40:20.596709
8518,1195460,33,2026-05-24 17:40:21.928417
8519,1196090,13,2026-05-24 17:40:23.227527
8520,1196590,2138,2026-05-24 17:40:24.522170
8521,1196630,43,2026-05-24 17:40:25.841118
8522,1197260,836,2026-05-24 17:40:27.085454
8523,1197570,9,2026-05-24 17:40:28.318672
8524,1199030,34,2026-05-24 17:40:29.629114
8525,1201240,774,2026-05-24 17:40:30.948731
8526,1201270,17,2026-05-24 17:40:32.277795
8527,1201540,226,2026-05-24 17:40:33.567240
8528,1202130,183,2026-05-24 17:40:34.892117
8529,1202900,9,2026-05-24 17:40:36.116747
8530,1203220,6401,2026-05-24 17:40:37.351885
8531,1203620,17234,2026-05-24 17:40:38.636699
8532,1203630,10,2026-05-24 17:40:39.950389
8533,1203710,12,2026-05-24 17:40:41.177076
8534,1204050,137,2026-05-24 17:40:42.394975
8535,1205520,87,2026-05-24 17:40:43.620406
8536,1206060,10,2026-05-24 17:40:44.922364
8537,1206240,0,2026-05-24 17:40:46.226171
8538,1206560,2145,2026-05-24 17:40:47.538848
8539,1206610,35,2026-05-24 17:40:48.847350
8540,1207650,257,2026-05-24 17:40:50.062659
8541,1209040,0,2026-05-24 17:40:51.402818
8542,1209490,12,2026-05-24 17:40:52.839025
8543,1210250,23,2026-05-24 17:40:54.171199
8544,1210320,1041,2026-05-24 17:40:55.499141
8545,1211020,942,2026-05-24 17:40:56.826191
8546,1211600,16,2026-05-24 17:40:58.174082
8547,1213210,980,2026-05-24 17:40:59.405004
8548,1213700,17,2026-05-24 17:41:00.719822
8549,1213740,14,2026-05-24 17:41:02.041144
8550,1214280,4,2026-05-24 17:41:03.376436
8551,1214670,4,2026-05-24 17:41:04.684608
8552,1215390,165,2026-05-24 17:41:06.010522
8553,1216200,18,2026-05-24 17:41:07.341731
8554,1216320,190,2026-05-24 17:41:08.690132
8555,1216710,11,2026-05-24 17:41:09.992538
8556,1217060,1084,2026-05-24 17:41:11.259229
8557,1217390,0,2026-05-24 17:41:12.638815
8558,1218210,247,2026-05-24 17:41:13.911527
8559,1218250,3,2026-05-24 17:41:15.481384
8560,1218500,3,2026-05-24 17:41:16.927466
8561,1218740,131,2026-05-24 17:41:18.179948
8562,1220010,43,2026-05-24 17:41:19.481166
8563,1220140,83,2026-05-24 17:41:20.833991
8564,1220150,6,2026-05-24 17:41:22.136802
8565,1221250,10,2026-05-24 17:41:23.467702
8566,1222140,2650,2026-05-24 17:41:24.773510
8567,1222370,52,2026-05-24 17:41:26.082770
8568,1222670,32652,2026-05-24 17:41:27.339179
8569,1222680,2398,2026-05-24 17:41:28.566553
8570,1222690,710,2026-05-24 17:41:29.870856
8571,1222700,684,2026-05-24 17:41:31.130775
8572,1222730,77,2026-05-24 17:41:32.477280
8573,1222800,184,2026-05-24 17:41:33.796912
8574,1225330,49,2026-05-24 17:41:35.124132
8575,1225560,18,2026-05-24 17:41:36.444205
8576,1225570,159,2026-05-24 17:41:37.669564
8577,1226470,0,2026-05-24 17:41:38.990058
8578,1227530,34,2026-05-24 17:41:40.342676
8579,1227690,22,2026-05-24 17:41:41.676435
8580,1227890,158,2026-05-24 17:41:42.926287
8581,1229240,135,2026-05-24 17:41:44.260971
8582,1229380,23,2026-05-24 17:41:45.587257
8583,1229490,5510,2026-05-24 17:41:46.831757
8584,1230140,17,2026-05-24 17:41:48.061873
8585,1230170,1,2026-05-24 17:41:49.358209
8586,1230410,0,2026-05-24 17:41:50.592954
8587,1230530,67,2026-05-24 17:41:51.912841
8588,1230570,0,2026-05-24 17:41:53.242348
8589,1233270,0,2026-05-24 17:41:54.540121
8590,1233570,61,2026-05-24 17:41:55.868130
8591,1235140,619,2026-05-24 17:41:57.148040
8592,1236300,1,2026-05-24 17:41:58.472207
8593,1236990,1,2026-05-24 17:41:59.878758
8594,1237320,256,2026-05-24 17:42:01.101326
8595,1237950,4567,2026-05-24 17:42:02.339607
8596,1237970,1237,2026-05-24 17:42:03.602358
8597,1237980,66,2026-05-24 17:42:04.959586
8598,1238000,583,2026-05-24 17:42:06.223962
8599,1238020,62,2026-05-24 17:42:07.552501
8600,1238040,218,2026-05-24 17:42:08.769834
8601,1238060,201,2026-05-24 17:42:10.016342
8602,1238080,74,2026-05-24 17:42:11.257164
8603,1238810,2057,2026-05-24 17:42:12.486149
8604,1238820,141,2026-05-24 17:42:13.883778
8605,1238840,5450,2026-05-24 17:42:15.190802
8606,1238860,1558,2026-05-24 17:42:16.588077
8607,1238880,47,2026-05-24 17:42:17.943224
8608,1239080,474,2026-05-24 17:42:19.215482
8609,1239260,2,2026-05-24 17:42:20.510991
8610,1239320,52,2026-05-24 17:42:21.875256
8611,1239520,12,2026-05-24 17:42:23.167248
8612,1239690,6,2026-05-24 17:42:24.477406
8613,1240210,41,2026-05-24 17:42:25.782760
8614,1240440,2421,2026-05-24 17:42:27.006744
8615,1241100,110,2026-05-24 17:42:28.388999
