id,app_id,owners_min,owners_max,average_playtime,median_playtime,peak_ccu,collected_at
1331,312610,200000,500000,0,0,10,2026-05-23 21:15:25.537542
1332,312660,2000000,5000000,0,0,541,2026-05-23 21:15:27.384553
1333,312670,500000,1000000,0,0,18,2026-05-23 21:15:29.224654
1334,312750,200000,500000,0,0,48,2026-05-23 21:15:31.064070
1335,312780,200000,500000,0,0,14,2026-05-23 21:15:32.913786
1336,312840,200000,500000,0,0,11,2026-05-23 21:15:34.755930
1337,312990,2000000,5000000,0,0,20,2026-05-23 21:15:36.618291
1338,313010,200000,500000,0,0,13,2026-05-23 21:15:38.460539
1339,313120,1000000,2000000,0,0,256,2026-05-23 21:15:40.357255
1340,313140,200000,500000,0,0,0,2026-05-23 21:15:42.200567
1341,313160,1000000,2000000,0,0,84,2026-05-23 21:15:44.035403
1342,313340,500000,1000000,0,0,40,2026-05-23 21:15:45.931866
1343,313500,200000,500000,0,0,20,2026-05-23 21:15:47.773817
1344,313690,500000,1000000,0,0,76,2026-05-23 21:15:49.606515
1345,313730,500000,1000000,0,0,5,2026-05-23 21:15:51.448403
1346,313740,200000,500000,0,0,1,2026-05-23 21:15:53.351988
1347,314000,500000,1000000,0,0,88,2026-05-23 21:15:55.225912
1348,314010,200000,500000,0,0,3,2026-05-23 21:15:57.097560
1349,314020,500000,1000000,0,0,1,2026-05-23 21:15:58.955046
1350,314160,2000000,5000000,0,0,486,2026-05-23 21:16:00.793443
1351,314280,200000,500000,0,0,3,2026-05-23 21:16:02.631952
1352,314410,200000,500000,0,0,4,2026-05-23 21:16:04.474419
1353,314430,200000,500000,0,0,30,2026-05-23 21:16:06.332606
1354,314450,200000,500000,0,0,0,2026-05-23 21:16:08.176582
1355,314650,500000,1000000,0,0,143,2026-05-23 21:16:10.016055
1356,314660,200000,500000,0,0,3,2026-05-23 21:16:11.877235
1357,314710,200000,500000,0,0,0,2026-05-23 21:16:13.726119
1358,314970,500000,1000000,0,0,17,2026-05-23 21:16:15.576981
1359,315210,500000,1000000,0,0,159,2026-05-23 21:16:17.408919
1360,315430,500000,1000000,0,0,0,2026-05-23 21:16:19.258289
1361,315460,200000,500000,0,0,9,2026-05-23 21:16:21.099368
1362,316010,2000000,5000000,0,0,37,2026-05-23 21:16:22.949120
1363,316790,500000,1000000,0,0,19,2026-05-23 21:16:24.800372
1364,317250,200000,500000,0,0,1,2026-05-23 21:16:26.788880
1365,317360,1000000,2000000,0,0,11,2026-05-23 21:16:28.757495
1366,317410,200000,500000,0,0,3,2026-05-23 21:16:30.652734
1367,317470,500000,1000000,0,0,22,2026-05-23 21:16:32.510797
1368,317820,200000,500000,0,0,8,2026-05-23 21:16:34.412397
1369,318100,200000,500000,0,0,0,2026-05-23 21:16:36.252604
1370,318230,200000,500000,0,0,1,2026-05-23 21:16:38.114844
1371,318430,200000,500000,0,0,0,2026-05-23 21:16:39.964995
1372,318600,500000,1000000,0,0,5,2026-05-23 21:16:41.807782
1373,319180,200000,500000,0,0,0,2026-05-23 21:16:43.663244
1374,319510,2000000,5000000,0,0,118,2026-05-23 21:16:45.498419
1375,319570,200000,500000,0,0,3,2026-05-23 21:16:47.407430
1376,319830,1000000,2000000,0,0,4,2026-05-23 21:16:49.259789
1377,319910,500000,1000000,0,0,9,2026-05-23 21:16:51.110830
1378,320040,500000,1000000,0,0,2,2026-05-23 21:16:52.957965
1379,320240,500000,1000000,0,0,57,2026-05-23 21:16:54.805717
1380,320300,500000,1000000,0,0,25,2026-05-23 21:16:56.652976
1381,320340,200000,500000,0,0,3,2026-05-23 21:16:58.491301
1382,320430,200000,500000,0,0,65,2026-05-23 21:17:00.404254
1383,321150,200000,500000,0,0,0,2026-05-23 21:17:02.241406
1384,321270,200000,500000,0,0,29,2026-05-23 21:17:04.076591
1385,321360,500000,1000000,0,0,34,2026-05-23 21:17:05.926151
1386,321400,500000,1000000,0,0,3,2026-05-23 21:17:07.771731
1387,321480,200000,500000,0,0,2,2026-05-23 21:17:09.620090
1388,321800,200000,500000,0,0,57,2026-05-23 21:17:11.457063
1389,321960,500000,1000000,0,0,227,2026-05-23 21:17:13.302014
1390,322110,200000,500000,0,0,11,2026-05-23 21:17:15.134448
1391,322170,5000000,10000000,0,0,27850,2026-05-23 21:17:16.966443
1392,322190,500000,1000000,0,0,27,2026-05-23 21:17:18.805768
1393,322330,10000000,20000000,0,0,30542,2026-05-23 21:17:20.641622
1394,322500,1000000,2000000,0,0,43,2026-05-23 21:17:22.483963
1395,322680,200000,500000,0,0,1,2026-05-23 21:17:24.333033
1396,323060,500000,1000000,0,0,2,2026-05-23 21:17:26.165896
1397,323220,200000,500000,0,0,26,2026-05-23 21:17:28.006522
1398,323320,200000,500000,0,0,5,2026-05-23 21:17:29.855633
1399,323470,1000000,2000000,0,0,63,2026-05-23 21:17:31.698845
1400,323580,2000000,5000000,0,0,3,2026-05-23 21:17:33.639499
1401,323850,1000000,2000000,0,0,21,2026-05-23 21:17:35.539051
1402,323910,500000,1000000,0,0,16,2026-05-23 21:17:37.426170
1403,324080,200000,500000,0,0,70,2026-05-23 21:17:39.286628
1404,324160,200000,500000,0,0,57,2026-05-23 21:17:41.135721
1405,324310,500000,1000000,0,0,7,2026-05-23 21:17:43.067425
1406,324570,200000,500000,0,0,1,2026-05-23 21:17:44.913806
1407,324800,1000000,2000000,0,0,61,2026-05-23 21:17:46.658176
1408,324810,500000,1000000,0,0,67,2026-05-23 21:17:48.496369
1409,325090,200000,500000,0,0,0,2026-05-23 21:17:50.351028
1410,325120,200000,500000,0,0,0,2026-05-23 21:17:52.353385
1411,325420,200000,500000,0,0,0,2026-05-23 21:17:54.203142
1412,325610,2000000,5000000,0,0,1422,2026-05-23 21:17:56.055722
1413,326160,200000,500000,0,0,16,2026-05-23 21:17:58.026447
1414,326360,500000,1000000,0,0,122,2026-05-23 21:17:59.978665
1415,326410,200000,500000,0,0,3,2026-05-23 21:18:01.873009
1416,326460,1000000,2000000,0,0,297,2026-05-23 21:18:03.734872
1417,326960,500000,1000000,0,0,0,2026-05-23 21:18:05.599692
1418,327030,500000,1000000,0,0,181,2026-05-23 21:18:07.456153
1419,327070,200000,500000,0,0,1,2026-05-23 21:18:09.339562
1420,327140,200000,500000,0,0,8,2026-05-23 21:18:11.186991
1421,327220,200000,500000,0,0,10,2026-05-23 21:18:13.081403
1422,327410,200000,500000,0,0,5,2026-05-23 21:18:14.932872
1423,327640,500000,1000000,0,0,1,2026-05-23 21:18:16.779386
1424,327690,1000000,2000000,0,0,0,2026-05-23 21:18:18.630854
1425,327740,200000,500000,0,0,1,2026-05-23 21:18:20.569295
1426,328080,200000,500000,0,0,26,2026-05-23 21:18:22.417341
1427,329000,500000,1000000,0,0,0,2026-05-23 21:18:24.284106
1428,329050,1000000,2000000,0,0,220,2026-05-23 21:18:26.328760
1429,329110,1000000,2000000,0,0,2002,2026-05-23 21:18:30.290101
1430,329130,200000,500000,0,0,18,2026-05-23 21:18:32.137170
1431,329380,200000,500000,0,0,1,2026-05-23 21:18:34.074922
1432,329430,1000000,2000000,0,0,96,2026-05-23 21:18:35.918548
1433,329490,200000,500000,0,0,1,2026-05-23 21:18:37.757556
1434,330020,1000000,2000000,0,0,69,2026-05-23 21:18:39.603884
1435,330350,200000,500000,0,0,3,2026-05-23 21:18:41.449384
1436,330580,200000,500000,0,0,0,2026-05-23 21:18:43.296405
1437,330840,500000,1000000,0,0,1,2026-05-23 21:18:47.173508
1438,331120,200000,500000,0,0,1,2026-05-23 21:18:49.145127
1439,331360,1000000,2000000,0,0,0,2026-05-23 21:18:50.996487
1440,331470,500000,1000000,0,0,318,2026-05-23 21:18:52.833583
1441,331480,200000,500000,0,0,1,2026-05-23 21:18:54.691915
1442,331600,500000,1000000,0,0,32,2026-05-23 21:18:56.529629
1443,331870,200000,500000,0,0,2,2026-05-23 21:18:58.374459
1444,332070,1000000,2000000,0,0,1,2026-05-23 21:19:00.228152
1445,332200,200000,500000,0,0,17,2026-05-23 21:19:02.064638
1446,332310,500000,1000000,0,0,43,2026-05-23 21:19:03.907330
1447,332500,500000,1000000,0,0,1,2026-05-23 21:19:05.745550
1448,332570,500000,1000000,0,0,65,2026-05-23 21:19:07.583685
1449,332790,200000,500000,0,0,0,2026-05-23 21:19:09.425499
1450,332800,1000000,2000000,0,0,35,2026-05-23 21:19:11.261693
1451,332950,1000000,2000000,0,0,162,2026-05-23 21:19:13.103410
1452,333250,200000,500000,0,0,0,2026-05-23 21:19:14.940204
1453,333420,1000000,2000000,0,0,446,2026-05-23 21:19:16.786260
1454,333600,500000,1000000,0,0,34,2026-05-23 21:19:18.624401
1455,333640,200000,500000,0,0,425,2026-05-23 21:19:20.459597
1456,333930,5000000,10000000,0,0,40,2026-05-23 21:19:22.301346
1457,333950,200000,500000,0,0,24,2026-05-23 21:19:24.135459
1458,334040,200000,500000,0,0,7,2026-05-23 21:19:25.975616
1459,334210,1000000,2000000,0,0,1,2026-05-23 21:19:27.841607
1460,334230,1000000,2000000,0,0,117,2026-05-23 21:19:29.672741
1461,334270,200000,500000,0,0,1,2026-05-23 21:19:31.596174
1462,334310,500000,1000000,0,0,28,2026-05-23 21:19:33.443629
1463,334420,200000,500000,0,0,3,2026-05-23 21:19:35.292007
1464,334920,500000,1000000,0,0,96,2026-05-23 21:19:37.135962
1465,334940,200000,500000,0,0,4,2026-05-23 21:19:38.995097
1466,335240,2000000,5000000,0,0,1284,2026-05-23 21:19:40.952865
1467,335300,2000000,5000000,0,0,1612,2026-05-23 21:19:42.791245
1468,335330,1000000,2000000,0,0,0,2026-05-23 21:19:44.641180
1469,335430,200000,500000,0,0,1,2026-05-23 21:19:46.541151
1470,335670,500000,1000000,0,0,23,2026-05-23 21:19:48.384912
1471,336510,200000,500000,0,0,0,2026-05-23 21:19:50.229062
1472,336520,200000,500000,0,0,0,2026-05-23 21:19:52.088248
1473,336670,200000,500000,0,0,1,2026-05-23 21:19:53.920840
1474,337000,2000000,5000000,0,0,205,2026-05-23 21:19:55.767985
1475,337320,1000000,2000000,0,0,296,2026-05-23 21:19:57.607567
1476,337340,500000,1000000,0,0,16,2026-05-23 21:19:59.470719
1477,337410,200000,500000,0,0,441,2026-05-23 21:20:01.325185
1478,338170,200000,500000,0,0,8,2026-05-23 21:20:03.222884
1479,338180,500000,1000000,0,0,1,2026-05-23 21:20:05.064827
1480,338530,200000,500000,0,0,0,2026-05-23 21:20:06.934045
1481,338540,500000,1000000,0,0,0,2026-05-23 21:20:08.808038
1482,338810,200000,500000,0,0,5,2026-05-23 21:20:10.660852
1483,339200,200000,500000,0,0,10,2026-05-23 21:20:12.791919
1484,339280,1000000,2000000,0,0,5,2026-05-23 21:20:14.700074
1485,339340,1000000,2000000,0,0,83,2026-05-23 21:20:16.543935
1486,339580,200000,500000,0,0,1,2026-05-23 21:20:18.454447
1487,339600,1000000,2000000,0,0,290,2026-05-23 21:20:20.305442
1488,339610,200000,500000,0,0,126,2026-05-23 21:20:22.155921
1489,339800,1000000,2000000,0,0,178,2026-05-23 21:20:23.997110
1490,340050,200000,500000,0,0,6,2026-05-23 21:20:25.835439
1491,340170,200000,500000,0,0,8,2026-05-23 21:20:27.691136
1492,340540,200000,500000,0,0,0,2026-05-23 21:20:29.562677
1493,340810,200000,500000,0,0,4,2026-05-23 21:20:31.462487
1494,340840,500000,1000000,0,0,0,2026-05-23 21:20:33.302223
1495,341000,500000,1000000,0,0,5,2026-05-23 21:20:35.152639
1496,341310,500000,1000000,0,0,1,2026-05-23 21:20:37.116256
1497,341500,200000,500000,0,0,1,2026-05-23 21:20:38.958236
1498,341720,200000,500000,0,0,0,2026-05-23 21:20:40.803238
1499,341800,1000000,2000000,0,0,148,2026-05-23 21:20:42.653842
1500,341940,1000000,2000000,0,0,67,2026-05-23 21:20:44.497045
1501,342150,200000,500000,0,0,0,2026-05-23 21:20:46.328203
1502,342180,500000,1000000,0,0,29,2026-05-23 21:20:48.171624
1503,342200,2000000,5000000,0,0,392,2026-05-23 21:20:50.007306
1504,342480,200000,500000,0,0,0,2026-05-23 21:20:51.841480
1505,342560,200000,500000,0,0,68,2026-05-23 21:20:53.679376
1506,342620,200000,500000,0,0,1,2026-05-23 21:20:55.526388
1507,342980,500000,1000000,0,0,1,2026-05-23 21:20:57.373378
1508,343100,200000,500000,0,0,0,2026-05-23 21:20:59.213009
1509,343270,500000,1000000,0,0,0,2026-05-23 21:21:01.051709
